,station_id,name,rental_methods,lat,eightd_station_services,has_kiosk,short_name,external_id,capacity,region_id,electric_bike_surcharge_waiver,legacy_id,lon,station_type,eightd_has_key_dispenser,rental_uris.ios,rental_uris.android,timestamp
67,72,Georgetown Harbor / 30th St NW,"['KEY', 'CREDITCARD']",38.902314,[],True,31215,08249be7-1f3f-11e7-bf6b-3863bb334450,19,42,False,72,-77.0591415,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
68,73,12th & Newton St NE,"['KEY', 'CREDITCARD']",38.933668,[],True,31501,08249c5a-1f3f-11e7-bf6b-3863bb334450,11,42,False,73,-76.991016,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
69,74,US Dept of State / Virginia Ave & 21st St NW,"['KEY', 'CREDITCARD']",38.894919,[],True,31220,08249cd3-1f3f-11e7-bf6b-3863bb334450,15,42,False,74,-77.046587,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
70,75,L'Enfant Plaza / 7th & C St SW,"['KEY', 'CREDITCARD']",38.886266,[],True,31218,08249d44-1f3f-11e7-bf6b-3863bb334450,15,42,False,75,-77.022241,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
71,76,10th St & Constitution Ave NW,"['KEY', 'CREDITCARD']",38.893028,[],True,31219,08249dad-1f3f-11e7-bf6b-3863bb334450,31,42,False,76,-77.026013,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
72,77,Kennedy Center,"['KEY', 'CREDITCARD']",38.897293,[],True,31211,08249e19-1f3f-11e7-bf6b-3863bb334450,19,42,False,77,-77.05557,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
73,78,Eastern Market Metro / Pennsylvania Ave & 8th St SE,"['KEY', 'CREDITCARD']",38.88409514578027,[],True,31613,08249e81-1f3f-11e7-bf6b-3863bb334450,19,42,False,78,-76.99523448944092,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
74,79,18th & M St NW,"['KEY', 'CREDITCARD']",38.90506687455313,[],True,31221,08249ef2-1f3f-11e7-bf6b-3863bb334450,27,42,False,79,-77.04177886247635,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
75,80,Tenleytown / Wisconsin Ave & Albemarle St NW,"['KEY', 'CREDITCARD']",38.947607,[],True,31303,08249f58-1f3f-11e7-bf6b-3863bb334450,15,42,False,80,-77.079382,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
76,81,13th & H St NE,"['KEY', 'CREDITCARD']",38.90042673988099,[],True,31611,08249fbc-1f3f-11e7-bf6b-3863bb334450,27,42,False,81,-76.98825001716614,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
77,82,5th & F St NW,"['KEY', 'CREDITCARD']",38.897222,[],True,31620,0824a28b-1f3f-11e7-bf6b-3863bb334450,30,42,False,82,-77.019347,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
78,83,New York Ave & 15th St NW,"['KEY', 'CREDITCARD']",38.89903234416315,[],True,31222,0824a43b-1f3f-11e7-bf6b-3863bb334450,19,42,False,83,-77.03335404396057,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
79,84,Convention Center / 7th & M St NW,"['KEY', 'CREDITCARD']",38.905737,[],True,31223,0824a4ce-1f3f-11e7-bf6b-3863bb334450,23,42,False,84,-77.02227,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
80,85,Harvard St & Adams Mill Rd NW,"['KEY', 'CREDITCARD']",38.927872,[],True,31112,0824a53f-1f3f-11e7-bf6b-3863bb334450,15,42,False,85,-77.043358,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
81,86,18th & L St NW,"['KEY', 'CREDITCARD']",38.903741450919384,[],True,31224,0824a5b0-1f3f-11e7-bf6b-3863bb334450,19,42,False,86,-77.04245209693909,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
82,87,C & O Canal & Wisconsin Ave NW,"['KEY', 'CREDITCARD']",38.90375,[],True,31225,0824a623-1f3f-11e7-bf6b-3863bb334450,23,42,False,87,-77.06269,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
83,88,Maine Ave & 7th St SW,"['KEY', 'CREDITCARD']",38.878693599396954,[],True,31609,0824a68f-1f3f-11e7-bf6b-3863bb334450,19,42,False,88,-77.02305436134338,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
84,89,D St & Maryland Ave NE,"['KEY', 'CREDITCARD']",38.89484064247075,[],True,31612,0824a703-1f3f-11e7-bf6b-3863bb334450,23,42,False,89,-76.99591577053069,classic,False,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,18:56:47
